movie,release year,id,genre,director,box_office,runtime(in min),IMDb rating,emotions,emopair,most occuring 5 pairs,top_emotions
The Good the Bad and the Ugly,1966,dfu26,"Adventure, Western",Sergio Leone,38.9,161,8.8,"['neutral', 'gratitude', 'anger', 'anger', 'fear', 'anger', 'anger', 'fear', 'remorse', 'caring', 'caring', 'caring', 'anger', 'joy', 'neutral', 'caring', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'anger', 'realization', 'neutral', 'disgust']","{('neutral', 'gratitude'): 1, ('gratitude', 'anger'): 1, ('anger', 'anger'): 2, ('anger', 'fear'): 2, ('fear', 'anger'): 1, ('fear', 'remorse'): 1, ('remorse', 'caring'): 1, ('caring', 'caring'): 2, ('caring', 'anger'): 1, ('anger', 'joy'): 1, ('joy', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'neutral'): 4, ('neutral', 'anger'): 1, ('anger', 'realization'): 1, ('realization', 'neutral'): 1, ('neutral', 'disgust'): 1}","[(('neutral', 'neutral'), 4), (('anger', 'anger'), 2), (('anger', 'fear'), 2), (('caring', 'caring'), 2), (('neutral', 'gratitude'), 1)]","['neutral', 'anger', 'caring', 'fear', 'gratitude', 'remorse', 'joy', 'realization']"
The Green Mile,1999,dfu27,"Crime, Drama, Fantasy",Frank Darabont,286.8,189,8.6,"['annoyance', 'sadness', 'neutral', 'neutral', 'neutral', 'neutral', 'fear', 'gratitude', 'gratitude', 'anger', 'fear', 'caring', 'amusement', 'love', 'anger', 'neutral', 'sadness', 'neutral', 'neutral', 'caring', 'curiosity', 'realization', 'gratitude', 'gratitude', 'annoyance', 'anger', 'annoyance', 'gratitude', 'anger', 'neutral', 'neutral', 'neutral', 'anger', 'anger', 'gratitude', 'gratitude', 'anger', 'gratitude', 'caring', 'neutral', 'anger', 'caring', 'caring', 'neutral', 'anger', 'admiration', 'fear', 'neutral', 'sadness', 'neutral', 'fear', 'neutral', 'grief', 'love']","{('annoyance', 'sadness'): 1, ('sadness', 'neutral'): 3, ('neutral', 'neutral'): 6, ('neutral', 'fear'): 2, ('fear', 'gratitude'): 1, ('gratitude', 'gratitude'): 3, ('gratitude', 'anger'): 3, ('anger', 'fear'): 1, ('fear', 'caring'): 1, ('caring', 'amusement'): 1, ('amusement', 'love'): 1, ('love', 'anger'): 1, ('anger', 'neutral'): 2, ('neutral', 'sadness'): 2, ('neutral', 'caring'): 1, ('caring', 'curiosity'): 1, ('curiosity', 'realization'): 1, ('realization', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'anger'): 1, ('anger', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('neutral', 'anger'): 3, ('anger', 'anger'): 1, ('anger', 'gratitude'): 2, ('gratitude', 'caring'): 1, ('caring', 'neutral'): 2, ('anger', 'caring'): 1, ('caring', 'caring'): 1, ('anger', 'admiration'): 1, ('admiration', 'fear'): 1, ('fear', 'neutral'): 2, ('neutral', 'grief'): 1, ('grief', 'love'): 1}","[(('neutral', 'neutral'), 6), (('sadness', 'neutral'), 3), (('gratitude', 'gratitude'), 3), (('gratitude', 'anger'), 3), (('neutral', 'anger'), 3)]","['neutral', 'anger', 'gratitude', 'caring', 'fear', 'annoyance', 'sadness', 'love']"
The Lord of the Rings The Fellowship of the ring,2001,dfu28,"Action, Adventure, Drama",Peter Jackson,898.2,178,8.8,"['neutral', 'neutral', 'love', 'realization', 'neutral', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'caring', 'anger', 'love', 'grief', 'caring', 'neutral', 'neutral', 'admiration', 'caring', 'caring', 'fear', 'neutral', 'neutral', 'neutral', 'fear', 'neutral', 'neutral', 'sadness', 'caring', 'remorse', 'realization', 'neutral', 'neutral', 'confusion', 'neutral', 'neutral', 'fear', 'neutral', 'caring', 'caring', 'fear', 'caring', 'caring', 'optimism', 'desire', 'fear', 'neutral', 'caring', 'neutral', 'sadness', 'sadness', 'disappointment', 'fear', 'fear', 'gratitude', 'curiosity', 'caring', 'fear', 'remorse', 'sadness', 'caring', 'optimism']","{('neutral', 'neutral'): 7, ('neutral', 'love'): 1, ('love', 'realization'): 1, ('realization', 'neutral'): 2, ('neutral', 'gratitude'): 1, ('gratitude', 'gratitude'): 3, ('gratitude', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'love'): 1, ('love', 'grief'): 1, ('grief', 'caring'): 1, ('caring', 'neutral'): 2, ('neutral', 'admiration'): 1, ('admiration', 'caring'): 1, ('caring', 'caring'): 3, ('caring', 'fear'): 3, ('fear', 'neutral'): 4, ('neutral', 'fear'): 2, ('neutral', 'sadness'): 2, ('sadness', 'caring'): 2, ('caring', 'remorse'): 1, ('remorse', 'realization'): 1, ('neutral', 'confusion'): 1, ('confusion', 'neutral'): 1, ('neutral', 'caring'): 2, ('fear', 'caring'): 1, ('caring', 'optimism'): 2, ('optimism', 'desire'): 1, ('desire', 'fear'): 1, ('sadness', 'sadness'): 1, ('sadness', 'disappointment'): 1, ('disappointment', 'fear'): 1, ('fear', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'curiosity'): 1, ('curiosity', 'caring'): 1, ('fear', 'remorse'): 1, ('remorse', 'sadness'): 1}","[(('neutral', 'neutral'), 7), (('fear', 'neutral'), 4), (('gratitude', 'gratitude'), 3), (('caring', 'caring'), 3), (('caring', 'fear'), 3)]","['neutral', 'caring', 'fear', 'gratitude', 'sadness', 'love', 'realization', 'remorse']"
The Matrix,1999,dfu29,"Action, Sci-Fi",The Wachowskis,467.2,136,8.7,"['anger', 'neutral', 'annoyance', 'annoyance', 'optimism', 'neutral', 'neutral', 'sadness', 'neutral', 'realization', 'realization', 'fear', 'excitement', 'confusion', 'neutral', 'fear', 'gratitude', 'neutral', 'neutral', 'neutral', 'caring', 'anger', 'love', 'annoyance', 'surprise', 'neutral', 'remorse', 'realization', 'fear', 'fear', 'love', 'fear']","{('anger', 'neutral'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'optimism'): 1, ('optimism', 'neutral'): 1, ('neutral', 'neutral'): 3, ('neutral', 'sadness'): 1, ('sadness', 'neutral'): 1, ('neutral', 'realization'): 1, ('realization', 'realization'): 1, ('realization', 'fear'): 2, ('fear', 'excitement'): 1, ('excitement', 'confusion'): 1, ('confusion', 'neutral'): 1, ('neutral', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'love'): 1, ('love', 'annoyance'): 1, ('annoyance', 'surprise'): 1, ('surprise', 'neutral'): 1, ('neutral', 'remorse'): 1, ('remorse', 'realization'): 1, ('fear', 'fear'): 1, ('fear', 'love'): 1, ('love', 'fear'): 1}","[(('neutral', 'neutral'), 3), (('realization', 'fear'), 2), (('anger', 'neutral'), 1), (('neutral', 'annoyance'), 1), (('annoyance', 'annoyance'), 1)]","['neutral', 'fear', 'annoyance', 'realization', 'anger', 'love', 'optimism', 'sadness']"
The Silence of the Lambs,1991,dfu30,"Crime, Drama, Thriller",Jonathan Demme,272.7,118,8.6,"['gratitude', 'neutral', 'admiration', 'gratitude', 'embarrassment', 'fear', 'anger', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'remorse', 'curiosity', 'gratitude', 'neutral', 'curiosity', 'neutral', 'neutral', 'grief', 'confusion', 'fear', 'annoyance', 'neutral', 'neutral', 'love', 'neutral', 'fear', 'gratitude', 'annoyance', 'anger', 'sadness', 'admiration', 'gratitude', 'admiration', 'grief', 'anger', 'gratitude', 'admiration']","{('gratitude', 'neutral'): 2, ('neutral', 'admiration'): 1, ('admiration', 'gratitude'): 2, ('gratitude', 'embarrassment'): 1, ('embarrassment', 'fear'): 1, ('fear', 'anger'): 1, ('anger', 'gratitude'): 2, ('gratitude', 'gratitude'): 3, ('gratitude', 'remorse'): 1, ('remorse', 'curiosity'): 1, ('curiosity', 'gratitude'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'neutral'): 2, ('neutral', 'grief'): 1, ('grief', 'confusion'): 1, ('confusion', 'fear'): 1, ('fear', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'love'): 1, ('love', 'neutral'): 1, ('neutral', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'anger'): 1, ('anger', 'sadness'): 1, ('sadness', 'admiration'): 1, ('gratitude', 'admiration'): 2, ('admiration', 'grief'): 1, ('grief', 'anger'): 1}","[(('gratitude', 'gratitude'), 3), (('gratitude', 'neutral'), 2), (('admiration', 'gratitude'), 2), (('anger', 'gratitude'), 2), (('neutral', 'neutral'), 2)]","['gratitude', 'neutral', 'admiration', 'fear', 'anger', 'curiosity', 'grief', 'annoyance']"
21 Grams,2003,dfm1,"Crime, Drama, Thriller",Alejandro González Iñárritu,60.4,124,7.6,"['anger', 'anger', 'sadness', 'anger', 'anger', 'admiration', 'neutral', 'neutral', 'caring', 'grief', 'grief', 'gratitude', 'pride', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'anger', 'anger', 'gratitude', 'anger', 'anger', 'gratitude', 'caring', 'love', 'curiosity', 'anger', 'grief', 'remorse', 'anger', 'anger', 'grief', 'sadness', 'desire']","{('anger', 'anger'): 5, ('anger', 'sadness'): 1, ('sadness', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'grief'): 1, ('grief', 'grief'): 1, ('grief', 'gratitude'): 1, ('gratitude', 'pride'): 1, ('pride', 'gratitude'): 1, ('gratitude', 'gratitude'): 3, ('gratitude', 'anger'): 2, ('anger', 'gratitude'): 2, ('gratitude', 'caring'): 1, ('caring', 'love'): 1, ('love', 'curiosity'): 1, ('curiosity', 'anger'): 1, ('anger', 'grief'): 2, ('grief', 'remorse'): 1, ('remorse', 'anger'): 1, ('grief', 'sadness'): 1, ('sadness', 'desire'): 1}","[(('anger', 'anger'), 5), (('gratitude', 'gratitude'), 3), (('gratitude', 'anger'), 2), (('anger', 'gratitude'), 2), (('anger', 'grief'), 2)]","['anger', 'gratitude', 'grief', 'sadness', 'neutral', 'caring', 'admiration', 'pride']"
A Dangerous Method,2011,dfm2,"Biography, Drama, Love",David Cronenberg,30.0,99,6.4,"['anger', 'neutral', 'anger', 'caring', 'remorse', 'fear', 'excitement', 'disapproval', 'neutral', 'remorse', 'curiosity', 'neutral', 'neutral', 'realization', 'gratitude', 'gratitude', 'gratitude', 'fear', 'remorse', 'annoyance', 'gratitude', 'caring', 'fear', 'fear', 'fear', 'grief', 'realization', 'fear', 'neutral', 'caring', 'neutral', 'love']","{('anger', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'caring'): 1, ('caring', 'remorse'): 1, ('remorse', 'fear'): 1, ('fear', 'excitement'): 1, ('excitement', 'disapproval'): 1, ('disapproval', 'neutral'): 1, ('neutral', 'remorse'): 1, ('remorse', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'neutral'): 1, ('neutral', 'realization'): 1, ('realization', 'gratitude'): 1, ('gratitude', 'gratitude'): 2, ('gratitude', 'fear'): 1, ('fear', 'remorse'): 1, ('remorse', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'fear'): 1, ('fear', 'fear'): 2, ('fear', 'grief'): 1, ('grief', 'realization'): 1, ('realization', 'fear'): 1, ('fear', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'love'): 1}","[(('gratitude', 'gratitude'), 2), (('fear', 'fear'), 2), (('anger', 'neutral'), 1), (('neutral', 'anger'), 1), (('anger', 'caring'), 1)]","['neutral', 'fear', 'gratitude', 'caring', 'remorse', 'anger', 'realization', 'excitement']"
A Walk Among the Tombstones,2014,dfm3,"Action, Crime, Drama",Scott Frank,,114,6.5,"['anger', 'neutral', 'anger', 'anger', 'anger', 'neutral', 'caring', 'curiosity', 'neutral', 'gratitude', 'annoyance', 'annoyance', 'neutral', 'neutral', 'anger', 'amusement', 'caring', 'anger', 'surprise', 'anger', 'gratitude', 'neutral', 'anger', 'annoyance', 'fear', 'neutral', 'anger', 'anger', 'anger', 'anger', 'caring']","{('anger', 'neutral'): 2, ('neutral', 'anger'): 4, ('anger', 'anger'): 5, ('neutral', 'caring'): 1, ('caring', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'neutral'): 1, ('anger', 'amusement'): 1, ('amusement', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'surprise'): 1, ('surprise', 'anger'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('anger', 'annoyance'): 1, ('annoyance', 'fear'): 1, ('fear', 'neutral'): 1, ('anger', 'caring'): 1}","[(('anger', 'anger'), 5), (('neutral', 'anger'), 4), (('anger', 'neutral'), 2), (('neutral', 'caring'), 1), (('caring', 'curiosity'), 1)]","['anger', 'neutral', 'caring', 'annoyance', 'gratitude', 'curiosity', 'amusement', 'surprise']"
Absolutely Anything,2015,dfm4,"Comedy, Sci-Fi",Terry Jones,6.3,86,6.0,"['gratitude', 'amusement', 'remorse', 'gratitude', 'gratitude', 'love', 'gratitude', 'annoyance', 'caring', 'neutral', 'admiration', 'gratitude', 'gratitude', 'anger', 'anger', 'excitement', 'fear', 'caring', 'annoyance', 'love', 'anger', 'gratitude', 'annoyance', 'anger', 'admiration', 'admiration', 'anger', 'love', 'admiration', 'love', 'caring', 'realization', 'amusement']","{('gratitude', 'amusement'): 1, ('amusement', 'remorse'): 1, ('remorse', 'gratitude'): 1, ('gratitude', 'gratitude'): 2, ('gratitude', 'love'): 1, ('love', 'gratitude'): 1, ('gratitude', 'annoyance'): 2, ('annoyance', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'admiration'): 1, ('admiration', 'gratitude'): 1, ('gratitude', 'anger'): 1, ('anger', 'anger'): 1, ('anger', 'excitement'): 1, ('excitement', 'fear'): 1, ('fear', 'caring'): 1, ('caring', 'annoyance'): 1, ('annoyance', 'love'): 1, ('love', 'anger'): 1, ('anger', 'gratitude'): 1, ('annoyance', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'love'): 1, ('love', 'admiration'): 1, ('admiration', 'love'): 1, ('love', 'caring'): 1, ('caring', 'realization'): 1, ('realization', 'amusement'): 1}","[(('gratitude', 'gratitude'), 2), (('gratitude', 'annoyance'), 2), (('gratitude', 'amusement'), 1), (('amusement', 'remorse'), 1), (('remorse', 'gratitude'), 1)]","['gratitude', 'anger', 'love', 'admiration', 'annoyance', 'caring', 'amusement', 'remorse']"
August Osage Country,2013,dfm5,"Comedy, Drama",John Wells,74.2,120,7.2,"['neutral', 'caring', 'neutral', 'neutral', 'neutral', 'anger', 'anger', 'neutral', 'love', 'neutral', 'neutral', 'neutral', 'love', 'gratitude', 'disgust', 'gratitude', 'neutral', 'caring', 'anger', 'remorse', 'admiration', 'curiosity', 'fear', 'gratitude', 'caring', 'curiosity', 'anger', 'anger', 'love', 'remorse', 'sadness', 'neutral', 'embarrassment', 'gratitude', 'admiration', 'sadness', 'caring', 'love', 'curiosity', 'anger', 'anger', 'nervousness', 'anger', 'neutral', 'love', 'anger', 'anger']","{('neutral', 'caring'): 2, ('caring', 'neutral'): 1, ('neutral', 'neutral'): 4, ('neutral', 'anger'): 1, ('anger', 'anger'): 4, ('anger', 'neutral'): 2, ('neutral', 'love'): 3, ('love', 'neutral'): 1, ('love', 'gratitude'): 1, ('gratitude', 'disgust'): 1, ('disgust', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('caring', 'anger'): 1, ('anger', 'remorse'): 1, ('remorse', 'admiration'): 1, ('admiration', 'curiosity'): 1, ('curiosity', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'curiosity'): 1, ('curiosity', 'anger'): 2, ('anger', 'love'): 1, ('love', 'remorse'): 1, ('remorse', 'sadness'): 1, ('sadness', 'neutral'): 1, ('neutral', 'embarrassment'): 1, ('embarrassment', 'gratitude'): 1, ('gratitude', 'admiration'): 1, ('admiration', 'sadness'): 1, ('sadness', 'caring'): 1, ('caring', 'love'): 1, ('love', 'curiosity'): 1, ('anger', 'nervousness'): 1, ('nervousness', 'anger'): 1, ('love', 'anger'): 1}","[(('neutral', 'neutral'), 4), (('anger', 'anger'), 4), (('neutral', 'love'), 3), (('neutral', 'caring'), 2), (('anger', 'neutral'), 2)]","['neutral', 'anger', 'love', 'caring', 'gratitude', 'curiosity', 'remorse', 'admiration']"
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,2020,dfm6,"Action, Comedy, Crime",Cathy Yan,205.3,109,6.1,"['disappointment', 'anger', 'gratitude', 'neutral', 'anger', 'gratitude', 'gratitude', 'anger', 'neutral', 'anger', 'pride', 'neutral', 'gratitude', 'annoyance', 'annoyance', 'neutral', 'admiration', 'anger', 'anger', 'anger', 'neutral', 'anger', 'anger', 'neutral', 'neutral', 'neutral', 'anger', 'anger', 'gratitude', 'anger', 'gratitude', 'anger', 'anger', 'anger', 'caring', 'anger', 'anger', 'gratitude', 'annoyance']","{('disappointment', 'anger'): 1, ('anger', 'gratitude'): 5, ('gratitude', 'neutral'): 1, ('neutral', 'anger'): 4, ('gratitude', 'gratitude'): 1, ('gratitude', 'anger'): 3, ('anger', 'neutral'): 3, ('anger', 'pride'): 1, ('pride', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'annoyance'): 2, ('annoyance', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'anger'): 7, ('neutral', 'neutral'): 2, ('anger', 'caring'): 1, ('caring', 'anger'): 1}","[(('anger', 'anger'), 7), (('anger', 'gratitude'), 5), (('neutral', 'anger'), 4), (('gratitude', 'anger'), 3), (('anger', 'neutral'), 3)]","['anger', 'neutral', 'gratitude', 'annoyance', 'disappointment', 'pride', 'admiration', 'caring']"
Born On The Fourth Of July,1989,dfm7,"Biography, Drama, War",Oliver Stone,161.0,145,7.2,"['joy', 'gratitude', 'approval', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'admiration', 'love', 'neutral', 'love', 'neutral', 'anger', 'anger', 'confusion', 'anger', 'anger', 'neutral', 'anger', 'anger', 'annoyance', 'anger', 'anger', 'anger', 'admiration', 'caring', 'admiration', 'anger', 'sadness', 'admiration', 'approval']","{('joy', 'gratitude'): 1, ('gratitude', 'approval'): 1, ('approval', 'neutral'): 1, ('neutral', 'anger'): 3, ('anger', 'neutral'): 2, ('neutral', 'neutral'): 2, ('neutral', 'admiration'): 1, ('admiration', 'love'): 1, ('love', 'neutral'): 2, ('neutral', 'love'): 1, ('anger', 'anger'): 5, ('anger', 'confusion'): 1, ('confusion', 'anger'): 1, ('anger', 'annoyance'): 1, ('annoyance', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'caring'): 1, ('caring', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'sadness'): 1, ('sadness', 'admiration'): 1, ('admiration', 'approval'): 1}","[(('anger', 'anger'), 5), (('neutral', 'anger'), 3), (('anger', 'neutral'), 2), (('neutral', 'neutral'), 2), (('love', 'neutral'), 2)]","['anger', 'neutral', 'admiration', 'approval', 'love', 'joy', 'gratitude', 'confusion']"
Brimstone,2016,dfm8,"Drama, Mystery, Thriller",Martin Koolhoven,2.1,148,7.0,"['caring', 'caring', 'anger', 'neutral', 'caring', 'neutral', 'neutral', 'curiosity', 'anger', 'neutral', 'annoyance', 'anger', 'annoyance', 'anger', 'disappointment', 'caring', 'admiration', 'caring', 'neutral', 'remorse', 'anger', 'gratitude', 'caring', 'caring', 'sadness', 'neutral']","{('caring', 'caring'): 2, ('caring', 'anger'): 1, ('anger', 'neutral'): 2, ('neutral', 'caring'): 1, ('caring', 'neutral'): 2, ('neutral', 'neutral'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'anger'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'anger'): 2, ('anger', 'annoyance'): 1, ('anger', 'disappointment'): 1, ('disappointment', 'caring'): 1, ('caring', 'admiration'): 1, ('admiration', 'caring'): 1, ('neutral', 'remorse'): 1, ('remorse', 'anger'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'sadness'): 1, ('sadness', 'neutral'): 1}","[(('caring', 'caring'), 2), (('anger', 'neutral'), 2), (('caring', 'neutral'), 2), (('annoyance', 'anger'), 2), (('caring', 'anger'), 1)]","['caring', 'neutral', 'anger', 'annoyance', 'curiosity', 'disappointment', 'admiration', 'remorse']"
Elizabeth ,1998,dfm9,"Biography, Drama, History",Shekhar Kapur,82.0,123,7.4,"['grief', 'gratitude', 'neutral', 'gratitude', 'gratitude', 'caring', 'neutral', 'neutral', 'caring', 'fear', 'remorse', 'anger', 'neutral', 'neutral', 'neutral', 'neutral', 'caring', 'neutral', 'love', 'remorse', 'fear', 'neutral', 'neutral', 'neutral', 'caring', 'neutral', 'gratitude', 'neutral', 'neutral']","{('grief', 'gratitude'): 1, ('gratitude', 'neutral'): 2, ('neutral', 'gratitude'): 2, ('gratitude', 'gratitude'): 1, ('gratitude', 'caring'): 1, ('caring', 'neutral'): 3, ('neutral', 'neutral'): 7, ('neutral', 'caring'): 3, ('caring', 'fear'): 1, ('fear', 'remorse'): 1, ('remorse', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'love'): 1, ('love', 'remorse'): 1, ('remorse', 'fear'): 1, ('fear', 'neutral'): 1}","[(('neutral', 'neutral'), 7), (('caring', 'neutral'), 3), (('neutral', 'caring'), 3), (('gratitude', 'neutral'), 2), (('neutral', 'gratitude'), 2)]","['neutral', 'gratitude', 'caring', 'fear', 'remorse', 'grief', 'anger', 'love']"
From Russia With Love,1963,dfm10,"Action, Adventure, Thriller",Terence Young,79.0,115,7.3,"['excitement', 'optimism', 'optimism', 'gratitude', 'curiosity', 'admiration', 'gratitude', 'gratitude', 'gratitude', 'caring', 'neutral', 'gratitude', 'gratitude', 'gratitude', 'optimism', 'neutral', 'curiosity', 'gratitude', 'love', 'caring', 'sadness', 'desire', 'gratitude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'caring', 'gratitude']","{('excitement', 'optimism'): 1, ('optimism', 'optimism'): 1, ('optimism', 'gratitude'): 1, ('gratitude', 'curiosity'): 1, ('curiosity', 'admiration'): 1, ('admiration', 'gratitude'): 1, ('gratitude', 'gratitude'): 4, ('gratitude', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'optimism'): 1, ('optimism', 'neutral'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'gratitude'): 1, ('gratitude', 'love'): 1, ('love', 'caring'): 1, ('caring', 'sadness'): 1, ('sadness', 'desire'): 1, ('desire', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'neutral'): 4, ('neutral', 'caring'): 1, ('caring', 'gratitude'): 1}","[(('gratitude', 'gratitude'), 4), (('neutral', 'neutral'), 4), (('excitement', 'optimism'), 1), (('optimism', 'optimism'), 1), (('optimism', 'gratitude'), 1)]","['gratitude', 'neutral', 'optimism', 'caring', 'curiosity', 'excitement', 'admiration', 'love']"
The Cider House Rules ,1999,dfm11,"Drama, Romance",Lasse Hallstrom,488.5,125,7.4,"['love', 'love', 'love', 'neutral', 'neutral', 'gratitude', 'approval', 'caring', 'admiration', 'embarrassment', 'fear', 'neutral', 'gratitude', 'love', 'fear', 'neutral', 'neutral', 'curiosity', 'curiosity', 'neutral', 'caring', 'love', 'caring', 'love', 'amusement', 'neutral', 'sadness', 'neutral', 'love', 'neutral', 'neutral', 'neutral', 'caring', 'curiosity', 'anger', 'admiration', 'neutral', 'neutral', 'neutral', 'love']","{('love', 'love'): 2, ('love', 'neutral'): 2, ('neutral', 'neutral'): 6, ('neutral', 'gratitude'): 2, ('gratitude', 'approval'): 1, ('approval', 'caring'): 1, ('caring', 'admiration'): 1, ('admiration', 'embarrassment'): 1, ('embarrassment', 'fear'): 1, ('fear', 'neutral'): 2, ('gratitude', 'love'): 1, ('love', 'fear'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'caring'): 2, ('caring', 'love'): 2, ('love', 'caring'): 1, ('love', 'amusement'): 1, ('amusement', 'neutral'): 1, ('neutral', 'sadness'): 1, ('sadness', 'neutral'): 1, ('neutral', 'love'): 2, ('caring', 'curiosity'): 1, ('curiosity', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'neutral'): 1}","[(('neutral', 'neutral'), 6), (('love', 'love'), 2), (('love', 'neutral'), 2), (('neutral', 'gratitude'), 2), (('fear', 'neutral'), 2)]","['neutral', 'love', 'caring', 'curiosity', 'gratitude', 'admiration', 'fear', 'approval']"
Happy Feet,2006,dfm12,"Animation, Adventure, Comedy",George Miller,384.3,108,6.4,"['anger', 'admiration', 'caring', 'anger', 'gratitude', 'admiration', 'excitement', 'gratitude', 'annoyance', 'surprise', 'gratitude', 'admiration', 'gratitude', 'amusement', 'gratitude', 'amusement', 'remorse', 'sadness', 'gratitude', 'caring', 'excitement', 'excitement', 'annoyance', 'gratitude', 'gratitude', 'caring', 'neutral', 'grief', 'anger', 'amusement']","{('anger', 'admiration'): 1, ('admiration', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'admiration'): 2, ('admiration', 'excitement'): 1, ('excitement', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'surprise'): 1, ('surprise', 'gratitude'): 1, ('admiration', 'gratitude'): 1, ('gratitude', 'amusement'): 2, ('amusement', 'gratitude'): 1, ('amusement', 'remorse'): 1, ('remorse', 'sadness'): 1, ('sadness', 'gratitude'): 1, ('gratitude', 'caring'): 2, ('caring', 'excitement'): 1, ('excitement', 'excitement'): 1, ('excitement', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('gratitude', 'gratitude'): 1, ('caring', 'neutral'): 1, ('neutral', 'grief'): 1, ('grief', 'anger'): 1, ('anger', 'amusement'): 1}","[(('gratitude', 'admiration'), 2), (('gratitude', 'amusement'), 2), (('gratitude', 'caring'), 2), (('anger', 'admiration'), 1), (('admiration', 'caring'), 1)]","['gratitude', 'anger', 'admiration', 'caring', 'excitement', 'amusement', 'annoyance', 'surprise']"
